Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDTDemo,Chrome 111.0.0.0,,,2023-03-21 12:11:59,2023-03-21 12:13:51,1m - 52.685s,FAILED
,,,,,,,
Test Cases/Demo/DataDrivenTesting,Chrome 111.0.0.0,,,2023-03-21 12:12:00,2023-03-21 12:12:29,29.460s,PASSED
"openBrowser("""", STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-21 12:12:02,2023-03-21 12:12:11,8.645s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 12:12:11,2023-03-21 12:12:12,0.942s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 111.0.0.0,,,2023-03-21 12:12:12,2023-03-21 12:12:15,3.745s,PASSED
"setText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Username_username""), username)",Chrome 111.0.0.0,,,2023-03-21 12:12:15,2023-03-21 12:12:18,2.548s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Password_password""), password)",Chrome 111.0.0.0,,,2023-03-21 12:12:18,2023-03-21 12:12:19,1.095s,PASSED
"click(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/button_Login""))",Chrome 111.0.0.0,,,2023-03-21 12:12:19,2023-03-21 12:12:21,2.303s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 111.0.0.0,,,2023-03-21 12:12:21,2023-03-21 12:12:25,3.481s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-21 12:12:25,2023-03-21 12:12:27,2.414s,PASSED
Video,Chrome 111.0.0.0,,,2023-03-21 12:12:29,2023-03-21 12:12:29,0.001s,PASSED
,,,,,,,
Test Cases/Demo/DataDrivenTesting,Chrome 111.0.0.0,,,2023-03-21 12:13:38,2023-03-21 12:13:51,13.219s,FAILED
"openBrowser("""", STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-21 12:13:38,2023-03-21 12:13:41,3.313s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 12:13:41,2023-03-21 12:13:42,0.336s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 111.0.0.0,,,2023-03-21 12:13:42,2023-03-21 12:13:47,5.421s,PASSED
"setText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Username_username""), username)",Chrome 111.0.0.0,,,2023-03-21 12:13:47,2023-03-21 12:13:49,1.662s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Password_password""), password)",Chrome 111.0.0.0,,,2023-03-21 12:13:49,2023-03-21 12:13:49,0.395s,FAILED
Video,Chrome 111.0.0.0,,,2023-03-21 12:13:51,2023-03-21 12:13:51,0.001s,PASSED
