Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTestSuite,Chrome 111.0.0.0,Login Test suite will be used to execute scenarios of login module.,,2023-03-15 12:41:05,2023-03-15 12:42:27,1m - 22.510s,PASSED
,,,,,,,
Test Cases/Demo/ScriptModeDemo,Chrome 111.0.0.0,This tese case is created by writing script.,Demo; Scripting,2023-03-15 12:41:05,2023-03-15 12:41:44,38.976s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-15 12:41:07,2023-03-15 12:41:13,6.389s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-15 12:41:13,2023-03-15 12:41:14,0.365s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 111.0.0.0,,,2023-03-15 12:41:14,2023-03-15 12:41:34,20.061s,PASSED
"setText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 111.0.0.0,,,2023-03-15 12:41:34,2023-03-15 12:41:38,4.067s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 111.0.0.0,,,2023-03-15 12:41:38,2023-03-15 12:41:39,1.073s,PASSED
"click(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/button_Login""))",Chrome 111.0.0.0,,,2023-03-15 12:41:39,2023-03-15 12:41:41,2.040s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 111.0.0.0,,,2023-03-15 12:41:41,2023-03-15 12:41:43,2.496s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-15 12:41:43,2023-03-15 12:41:44,1.200s,PASSED
,,,,,,,
Test Cases/Demo/ManualModeDemo,Chrome 111.0.0.0,This is manually creating test case.,Demo; Manual,2023-03-15 12:41:44,2023-03-15 12:42:27,42.559s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-15 12:41:46,2023-03-15 12:41:49,3.531s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 111.0.0.0,,,2023-03-15 12:41:49,2023-03-15 12:42:18,28.979s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-15 12:42:18,2023-03-15 12:42:18,0.180s,PASSED
"setText(findTestObject(""ManualModeDemo/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 111.0.0.0,,,2023-03-15 12:42:18,2023-03-15 12:42:22,3.426s,PASSED
"setEncryptedText(findTestObject(""ManualModeDemo/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 111.0.0.0,,,2023-03-15 12:42:22,2023-03-15 12:42:23,0.790s,PASSED
"click(findTestObject(""ManualModeDemo/Page_OrangeHRM/button_Login""))",Chrome 111.0.0.0,,,2023-03-15 12:42:23,2023-03-15 12:42:25,2.171s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 111.0.0.0,,,2023-03-15 12:42:25,2023-03-15 12:42:26,1.206s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-15 12:42:26,2023-03-15 12:42:27,1.064s,PASSED
