Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDTDemo,Chrome 111.0.0.0,,,2023-03-21 19:04:35,2023-03-21 19:04:58,23.351s,PASSED
,,,,,,,
Test Cases/Demo/DataDrivenTesting,Chrome 111.0.0.0,,,2023-03-21 19:04:36,2023-03-21 19:04:58,22.567s,PASSED
"openBrowser("""", STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-21 19:04:37,2023-03-21 19:04:44,6.647s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 19:04:44,2023-03-21 19:04:44,0.705s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 111.0.0.0,,,2023-03-21 19:04:44,2023-03-21 19:04:48,3.740s,PASSED
"setText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Username_username""), username)",Chrome 111.0.0.0,,,2023-03-21 19:04:48,2023-03-21 19:04:50,1.766s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Password_password""), password)",Chrome 111.0.0.0,,,2023-03-21 19:04:50,2023-03-21 19:04:50,0.754s,PASSED
"click(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/button_Login""))",Chrome 111.0.0.0,,,2023-03-21 19:04:50,2023-03-21 19:04:52,1.987s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 111.0.0.0,,,2023-03-21 19:04:52,2023-03-21 19:04:55,2.751s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-21 19:04:55,2023-03-21 19:04:56,1.002s,PASSED
Video,Chrome 111.0.0.0,,,2023-03-21 19:04:58,2023-03-21 19:04:58,0.001s,PASSED
