Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HerokuTestSuite,Chrome 111.0.0.0,This is demo,,2023-03-15 17:30:48,2023-03-15 17:31:43,55.298s,PASSED
,,,,,,,
Test Cases/Demo/RecordModeDemo,Chrome 111.0.0.0,This is creating test case by recording.,Demo; Recording,2023-03-15 17:30:50,2023-03-15 17:31:43,53.673s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-15 17:30:51,2023-03-15 17:31:08,16.520s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 111.0.0.0,"Navigating to our base url.
",,2023-03-15 17:31:08,2023-03-15 17:31:11,3.395s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/a_Make Appointment""), 0)",Chrome 111.0.0.0,"Waiting for the ""Make Appointment"" button to visible.",,2023-03-15 17:31:11,2023-03-15 17:31:15,3.481s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 111.0.0.0,"Clicking on the ""Make Appointment"" button.",,2023-03-15 17:31:15,2023-03-15 17:31:19,4.403s,PASSED
"setText(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 111.0.0.0,"Adding ""John Doe"" as username.
 ",,2023-03-15 17:31:19,2023-03-15 17:31:21,2.145s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 111.0.0.0,"Adding password for the user.
",,2023-03-15 17:31:21,2023-03-15 17:31:23,1.174s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/button_Login""))",Chrome 111.0.0.0,Verifying that login button is clickable or not ?,,2023-03-15 17:31:23,2023-03-15 17:31:23,0.793s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/button_Login""))",Chrome 111.0.0.0,"Clicking on login button.
",,2023-03-15 17:31:23,2023-03-15 17:31:25,1.514s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 111.0.0.0,Selecting value from the dropdown box.,,2023-03-15 17:31:25,2023-03-15 17:31:27,1.802s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 111.0.0.0,"Checking checkbox.

",,2023-03-15 17:31:27,2023-03-15 17:31:27,0.720s,PASSED
