Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDTDemo,Chrome 111.0.0.0,,,2023-03-21 18:41:34,2023-03-21 18:43:17,1m - 42.978s,FAILED
,,,,,,,
Test Cases/Demo/DataDrivenTesting,Chrome 111.0.0.0,,,2023-03-21 18:41:35,2023-03-21 18:41:58,22.516s,PASSED
"openBrowser("""", STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-21 18:41:36,2023-03-21 18:41:43,6.796s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 18:41:43,2023-03-21 18:41:44,0.867s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 111.0.0.0,,,2023-03-21 18:41:44,2023-03-21 18:41:48,4.488s,PASSED
"setText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Username_username""), username)",Chrome 111.0.0.0,,,2023-03-21 18:41:48,2023-03-21 18:41:50,1.362s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Password_password""), password)",Chrome 111.0.0.0,,,2023-03-21 18:41:50,2023-03-21 18:41:51,0.931s,PASSED
"click(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/button_Login""))",Chrome 111.0.0.0,,,2023-03-21 18:41:51,2023-03-21 18:41:52,1.897s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 111.0.0.0,,,2023-03-21 18:41:52,2023-03-21 18:41:55,2.201s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-21 18:41:55,2023-03-21 18:41:56,0.839s,PASSED
Video,Chrome 111.0.0.0,,,2023-03-21 18:41:58,2023-03-21 18:41:58,0.000s,PASSED
,,,,,,,
Test Cases/Demo/DataDrivenTesting,Chrome 111.0.0.0,,,2023-03-21 18:41:58,2023-03-21 18:42:08,10.462s,FAILED
"openBrowser("""", STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-21 18:41:58,2023-03-21 18:42:00,2.162s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 18:42:00,2023-03-21 18:42:00,0.210s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 111.0.0.0,,,2023-03-21 18:42:00,2023-03-21 18:42:04,3.535s,PASSED
"setText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Username_username""), username)",Chrome 111.0.0.0,,,2023-03-21 18:42:04,2023-03-21 18:42:06,2.176s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Password_password""), password)",Chrome 111.0.0.0,,,2023-03-21 18:42:06,2023-03-21 18:42:06,0.320s,FAILED
Video,Chrome 111.0.0.0,,,2023-03-21 18:42:08,2023-03-21 18:42:08,0.001s,PASSED
,,,,,,,
Test Cases/Demo/DataDrivenTesting,Chrome 111.0.0.0,,,2023-03-21 18:42:08,2023-03-21 18:42:21,13.078s,FAILED
"openBrowser("""", STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-21 18:42:08,2023-03-21 18:42:12,3.566s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 18:42:12,2023-03-21 18:42:12,0.367s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 111.0.0.0,,,2023-03-21 18:42:12,2023-03-21 18:42:15,3.132s,PASSED
"setText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Username_username""), username)",Chrome 111.0.0.0,,,2023-03-21 18:42:15,2023-03-21 18:42:17,2.244s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Password_password""), password)",Chrome 111.0.0.0,,,2023-03-21 18:42:17,2023-03-21 18:42:18,0.488s,PASSED
"click(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/button_Login""))",Chrome 111.0.0.0,,,2023-03-21 18:42:18,2023-03-21 18:42:18,0.430s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 111.0.0.0,,,2023-03-21 18:42:18,2023-03-21 18:42:19,0.728s,FAILED
Video,Chrome 111.0.0.0,,,2023-03-21 18:42:21,2023-03-21 18:42:21,0.002s,PASSED
,,,,,,,
Test Cases/Demo/DataDrivenTesting,Chrome 111.0.0.0,,,2023-03-21 18:42:21,2023-03-21 18:42:36,14.559s,FAILED
"openBrowser("""", STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-21 18:42:21,2023-03-21 18:42:25,3.594s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 18:42:25,2023-03-21 18:42:25,0.291s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 111.0.0.0,,,2023-03-21 18:42:25,2023-03-21 18:42:31,5.348s,PASSED
"setText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Username_username""), username)",Chrome 111.0.0.0,,,2023-03-21 18:42:31,2023-03-21 18:42:32,1.535s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/input_Password_password""), password)",Chrome 111.0.0.0,,,2023-03-21 18:42:32,2023-03-21 18:42:33,0.507s,PASSED
"click(findTestObject(""Object Repository/ManualModeDemo/Page_OrangeHRM/button_Login""))",Chrome 111.0.0.0,,,2023-03-21 18:42:33,2023-03-21 18:42:33,0.453s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 111.0.0.0,,,2023-03-21 18:42:33,2023-03-21 18:42:34,0.607s,FAILED
Video,Chrome 111.0.0.0,,,2023-03-21 18:42:36,2023-03-21 18:42:36,0.001s,PASSED
,,,,,,,
Test Cases/Demo/DataDrivenTesting,Chrome 111.0.0.0,,,2023-03-21 18:42:36,2023-03-21 18:42:49,13.607s,FAILED
"openBrowser("""", STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-21 18:42:36,2023-03-21 18:42:41,4.698s,PASSED
