Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HerokuTestSuite,Chrome 111.0.0.0,This is demo,,2023-03-15 18:15:22,2023-03-15 18:16:05,42.745s,PASSED
,,,,,,,
Test Cases/Demo/RecordModeDemo,Chrome 111.0.0.0,This is creating test case by recording.,Demo; Recording,2023-03-15 18:15:23,2023-03-15 18:16:05,42.205s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-15 18:15:24,2023-03-15 18:15:30,6.479s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 111.0.0.0,"Navigating to our base url.
",,2023-03-15 18:15:30,2023-03-15 18:15:35,4.066s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/a_Make Appointment""), 0)",Chrome 111.0.0.0,"Waiting for the ""Make Appointment"" button to visible.",,2023-03-15 18:15:35,2023-03-15 18:15:37,2.710s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 111.0.0.0,"Clicking on the ""Make Appointment"" button.",,2023-03-15 18:15:37,2023-03-15 18:15:39,1.994s,PASSED
"setText(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 111.0.0.0,"Adding ""John Doe"" as username.
 ",,2023-03-15 18:15:39,2023-03-15 18:15:42,2.697s,PASSED
"setEncryptedText(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 111.0.0.0,"Adding password for the user.
",,2023-03-15 18:15:42,2023-03-15 18:15:43,1.492s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/button_Login""))",Chrome 111.0.0.0,Verifying that login button is clickable or not ?,,2023-03-15 18:15:43,2023-03-15 18:15:44,0.771s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/button_Login""))",Chrome 111.0.0.0,"Clicking on login button.
",,2023-03-15 18:15:44,2023-03-15 18:15:46,1.836s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 111.0.0.0,Selecting value from the dropdown box.,,2023-03-15 18:15:46,2023-03-15 18:15:48,2.004s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 111.0.0.0,"Checking checkbox.

",,2023-03-15 18:15:48,2023-03-15 18:15:49,0.758s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 111.0.0.0,"Selecting radio button.
",,2023-03-15 18:15:49,2023-03-15 18:15:50,0.798s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 111.0.0.0,Clicking on calender icon.,,2023-03-15 18:15:50,2023-03-15 18:15:50,0.887s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/td_22""))",Chrome 111.0.0.0,"Clicking on ""22"" text.(Date)",,2023-03-15 18:15:50,2023-03-15 18:15:51,0.795s,PASSED
"setText(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/textarea_Comment_comment""), ""This is test"")",Chrome 111.0.0.0,Adding text into description text area.,,2023-03-15 18:15:51,2023-03-15 18:15:53,1.283s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 111.0.0.0,"Verifying that ""Book Appointment""  button is clickable or not ?",,2023-03-15 18:15:53,2023-03-15 18:15:53,0.694s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 111.0.0.0,"Clicking on ""Book Appointment"" button.
",,2023-03-15 18:15:53,2023-03-15 18:15:54,1.259s,PASSED
"verifyElementText(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 111.0.0.0,"Verfying text after clicking on ""Book Appointment"" button.",,2023-03-15 18:15:54,2023-03-15 18:15:55,0.817s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 111.0.0.0,"Verifying ""Go to Homepage"" button is visible or not.",,2023-03-15 18:15:55,2023-03-15 18:15:56,0.905s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 111.0.0.0,"Verifying ""Go to Homepage"" button is clickable or not.",,2023-03-15 18:15:56,2023-03-15 18:15:57,1.156s,PASSED
"click(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 111.0.0.0,"Clicking on ""Go to Homepage"" button.",,2023-03-15 18:15:57,2023-03-15 18:15:59,1.841s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), 0)",Chrome 111.0.0.0,Waiting for the element of home page to be visible.,,2023-03-15 18:15:59,2023-03-15 18:16:00,1.246s,PASSED
"verifyElementText(findTestObject(""Object Repository/RecordModeDemo/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 111.0.0.0,Verifying text from the home page.,,2023-03-15 18:16:00,2023-03-15 18:16:01,0.812s,PASSED
closeBrowser(),Chrome 111.0.0.0,Closing browser. ,,2023-03-15 18:16:01,2023-03-15 18:16:03,1.688s,PASSED
Video,Chrome 111.0.0.0,,,2023-03-15 18:16:05,2023-03-15 18:16:05,0.001s,PASSED
